respondent_id,age,gender,region,education,duration_seconds,Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R029,46-55,男,杭州,本科,274,非常不满意,可能会,偶尔,否,满意,可能会,3,8,很少
R030,36-45,男,深圳,本科,126,满意,可能会,偶尔,是,非常不满意,肯定会,8,2,经常
R031,46-55,男,深圳,大专,325,满意,可能会,经常,是,满意,肯定会,2,4,很少
R032,36-45,女,成都,硕士及以上,511,满意,可能会,经常,否,一般,肯定会,5,10,总是
R033,26-35,女,北京,硕士及以上,276,满意,可能不会,总是,是,满意,可能会,5,2,很少
R034,56+,女,深圳,硕士及以上,208,满意,不确定,偶尔,否,一般,肯定不会,5,5,经常
R035,26-35,男,深圳,硕士及以上,352,不满意,不确定,偶尔,否,满意,可能会,4,7,很少
R036,26-35,男,杭州,硕士及以上,235,满意,肯定会,经常,是,不满意,不确定,10,5,偶尔
R037,46-55,女,北京,高中及以下,359,满意,可能会,总是,是,一般,肯定不会,1,7,经常
R038,36-45,女,杭州,本科,429,一般,可能不会,总是,否,满意,肯定会,5,10,从不
R039,46-55,男,北京,本科,507,一般,可能会,偶尔,是,非常满意,不确定,8,2,偶尔
R040,26-35,女,上海,硕士及以上,329,一般,可能会,总是,是,满意,不确定,7,9,从不
R041,36-45,男,深圳,硕士及以上,165,一般,不确定,总是,是,满意,肯定会,9,8,偶尔
R042,18-25,女,成都,硕士及以上,216,满意,可能会,偶尔,是,非常不满意,不确定,3,5,偶尔
R043,18-25,女,上海,硕士及以上,477,满意,肯定不会,经常,否,满意,不确定,1,9,偶尔
R044,26-35,男,北京,大专,235,非常满意,肯定会,偶尔,是,满意,不确定,5,9,经常
R045,18-25,男,杭州,硕士及以上,332,非常满意,肯定会,很少,是,一般,肯定会,9,3,总是
R046,18-25,女,上海,大专,261,满意,肯定会,偶尔,否,一般,肯定不会,5,10,经常
R047,18-25,男,深圳,硕士及以上,457,满意,可能不会,经常,是,满意,可能会,8,6,总是
R048,26-35,女,深圳,硕士及以上,477,一般,可能会,总是,是,一般,不确定,7,7,总是
R049,36-45,男,广州,大专,525,非常满意,肯定会,偶尔,是,满意,可能会,2,8,很少
R050,26-35,男,深圳,硕士及以上,586,满意,可能会,偶尔,否,不满意,不确定,5,6,经常
R051,26-35,女,深圳,本科,323,满意,肯定会,总是,否,一般,不确定,8,9,从不
R052,18-25,女,杭州,本科,155,一般,可能会,偶尔,是,不满意,肯定会,2,8,很少
R053,26-35,男,上海,硕士及以上,273,非常满意,肯定不会,经常,是,一般,可能不会,9,7,经常
R054,56+,男,成都,大专,525,一般,不确定,经常,是,满意,不确定,10,3,很少
R055,36-45,其他,上海,高中及以下,446,一般,不确定,从不,否,非常满意,可能会,3,2,偶尔
R056,36-45,女,广州,大专,296,非常满意,不确定,总是,否,一般,不确定,7,8,很少
R057,18-25,男,成都,本科,315,满意,可能会,总是,是,非常满意,可能会,5,1,经常
R058,36-45,女,上海,硕士及以上,471,满意,肯定会,总是,否,满意,肯定会,4,10,经常
R059,18-25,男,上海,硕士及以上,232,满意,可能会,经常,否,满意,可能会,2,1,偶尔
R060,26-35,男,成都,大专,345,非常不满意,可能会,很少,否,一般,不确定,4,3,经常
R061,56+,男,北京,本科,568,非常满意,可能会,总是,否,一般,可能会,8,5,经常
R062,36-45,女,广州,本科,293,非常满意,可能会,从不,否,一般,可能会,7,9,偶尔
R063,26-35,男,杭州,硕士及以上,524,一般,不确定,很少,是,满意,不确定,7,6,很少
R064,36-45,男,杭州,本科,239,满意,可能会,总是,是,满意,可能会,8,5,经常
R065,46-55,男,北京,硕士及以上,179,不满意,肯定会,偶尔,是,不满意,肯定会,3,7,偶尔
R066,36-45,女,上海,大专,463,非常满意,可能会,经常,是,满意,肯定会,2,8,经常
R067,18-25,男,上海,硕士及以上,600,非常满意,肯定不会,偶尔,是,非常满意,肯定会,2,6,偶尔
R068,18-25,女,杭州,大专,450,一般,可能会,很少,是,满意,不确定,4,10,总是
R069,26-35,女,杭州,硕士及以上,145,满意,不确定,很少,是,非常不满意,可能会,4,10,很少
R070,26-35,男,杭州,大专,565,一般,肯定会,经常,是,一般,肯定会,3,9,偶尔
R071,18-25,男,广州,大专,209,不满意,肯定会,很少,是,满意,可能会,1,3,偶尔
R072,56+,女,北京,本科,184,满意,可能会,经常,是,满意,可能会,2,8,偶尔
R073,46-55,男,杭州,本科,434,非常不满意,肯定会,总是,是,一般,肯定会,1,8,经常
R074,26-35,男,成都,本科,338,满意,可能会,总是,是,不满意,可能会,2,3,偶尔
R075,36-45,女,深圳,本科,444,满意,可能会,偶尔,是,一般,可能会,7,2,经常
R076,26-35,女,杭州,本科,178,非常满意,可能会,经常,否,一般,不确定,4,7,偶尔
R077,46-55,男,深圳,本科,352,一般,可能会,偶尔,是,一般,肯定会,8,2,很少
R078,26-35,女,北京,本科,163,不满意,可能不会,经常,否,满意,可能会,9,9,偶尔
R079,26-35,女,成都,大专,182,满意,肯定会,总是,是,非常满意,肯定不会,5,10,偶尔
R080,18-25,男,上海,本科,173,满意,不确定,经常,是,不满意,可能会,6,2,经常
R081,26-35,男,深圳,高中及以下,41,不满意,可能会,总是,是,非常满意,不确定,1,3,偶尔
R082,26-35,男,杭州,硕士及以上,24,一般,不确定,从不,是,不满意,肯定会,7,2,很少
R083,26-35,男,北京,本科,45,非常不满意,肯定不会,总是,是,满意,可能会,8,6,很少
R084,46-55,男,北京,本科,28,一般,不确定,总是,是,非常不满意,可能不会,3,10,从不
R085,26-35,女,北京,本科,10,一般,可能会,经常,否,非常满意,可能会,7,5,很少
R086,18-25,女,深圳,本科,462,非常不满意,非常不满意,非常不满意,否,非常不满意,非常不满意,5,5,非常不满意
R087,56+,其他,上海,本科,420,非常不满意,非常不满意,非常不满意,否,非常不满意,非常不满意,5,5,非常不满意
R088,26-35,男,深圳,高中及以下,449,非常满意,非常满意,非常满意,否,非常满意,非常满意,5,5,非常满意
R089,18-25,男,成都,本科,223,不满意,不满意,不满意,否,不满意,不满意,5,5,不满意
R090,18-25,男,上海,本科,228,非常不满意,非常不满意,非常不满意,是,非常不满意,非常不满意,5,5,非常不满意
R091,18-25,女,深圳,本科,274,非常不满意,不满意,一般,是,非常满意,肯定会,1,2,总是
R092,36-45,男,上海,硕士及以上,228,非常不满意,不满意,一般,是,非常满意,肯定会,1,2,总是
R093,36-45,男,广州,本科,190,非常不满意,不满意,一般,是,非常满意,肯定会,1,2,总是
R094,26-35,男,杭州,本科,250,非常满意,肯定不会,从不,否,非常不满意,肯定会,1,10,总是
R095,18-25,男,杭州,本科,268,非常满意,肯定不会,从不,否,非常不满意,肯定会,1,10,总是
R096,26-35,男,北京,本科,287,非常满意,肯定不会,从不,否,非常不满意,肯定会,1,10,总是
R097,,女,上海,本科,0,,,,,,,-1,-1,
R098,26-35,,,,300,n/a,N/A,一般,yes,no,一般,7,6,偶尔
R099,36-45,男,北京,硕士,200,非常满意,肯定会,经常,是,非常满意,肯定会,9,9,总是
R001,26-35,女,上海,本科,350,满意,可能会,经常,是,满意,可能会,8,7,经常
