受访者 ID,年龄 ,Gender, 地区 ,答题时长(秒),Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R00050,26-35,男,深圳,9,非常满意,可能不会,总是,否,满意,可能会,6,2,很少
R00051,26-35,女,杭州,391,一般,肯定不会,很少,否,满意,可能不会,2,5,偶尔
R00052,18-25,男,北京,592,满意,可能会,经常,否,一般,不确定,4,7,偶尔
R00053,26-35,女,成都,511,满意,不确定,偶尔,否,不满意,可能会,3,6,偶尔
R00054,56+,男,成都,131,满意,肯定会,很少,是,满意,可能会,4,2,很少
R00055,36-45,女,北京,206,非常满意,可能会,经常,否,非常不满意,可能会,2,9,很少
R00056,36-45,女,北京,328,满意,不确定,经常,是,满意,可能会,7,9,经常
R00057,18-25,女,上海,526,一般,不确定,偶尔,是,一般,肯定会,9,5,偶尔
R00058,36-45,男,北京,448,一般,可能会,从不,是,不满意,可能会,8,7,总是
R00059,18-25,其他,广州,306,满意,可能会,经常,是,一般,可能不会,8,3,很少
R00060,26-35,男,深圳,280,一般,肯定会,经常,否,满意,肯定会,1,6,很少
R00061,56+,男,上海,218,满意,可能会,经常,否,非常满意,肯定会,7,6,经常
R00062,36-45,其他,上海,137,满意,不确定,经常,是,不满意,可能会,4,10,总是
R00063,26-35,女,深圳,268,一般,肯定会,偶尔,是,满意,不确定,8,4,很少
R00064,36-45,女,广州,462,一般,肯定会,经常,是,一般,可能会,8,10,经常
R00065,46-55,女,北京,179,一般,可能会,经常,否,一般,可能不会,3,8,很少
R00066,36-45,男,北京,116,一般,可能会,经常,否,非常满意,可能会,4,8,经常
R00067,18-25,女,上海,394,不满意,肯定会,总是,是,不满意,肯定不会,2,3,经常
R00068,18-25,女,深圳,466,满意,可能会,从不,是,非常不满意,肯定不会,9,8,经常
R00069,26-35,女,广州,536,满意,可能会,经常,是,一般,可能会,6,9,偶尔
R00070,26-35,女,成都,302,满意,可能会,从不,否,满意,肯定会,1,4,从不
R00071,18-25,男,广州,369,一般,可能会,从不,是,满意,不确定,8,2,偶尔
R00072,56+,男,杭州,226,非常满意,肯定会,经常,否,不满意,可能会,10,3,经常
R00073,46-55,男,上海,416,满意,可能不会,很少,是,非常满意,可能会,1,10,经常
R00074,26-35,女,成都,65,满意,肯定会,从不,否,一般,可能会,2,3,偶尔
R00075,36-45,男,杭州,214,满意,可能不会,很少,否,非常满意,肯定会,7,8,经常
R00076,26-35,男,成都,202,不满意,可能会,经常,是,不满意,不确定,3,3,从不
R00077,46-55,女,上海,92,满意,可能会,经常,否,满意,肯定会,4,10,经常
R00078,26-35,男,深圳,279,非常不满意,可能会,偶尔,是,满意,可能会,8,5,经常
R00079,26-35,男,深圳,166,不满意,肯定会,很少,是,非常不满意,可能会,7,9,很少
R00080,18-25,男,上海,405,非常满意,可能会,偶尔,是,满意,不确定,1,10,很少
R00081,26-35,女,成都,435,非常满意,不确定,偶尔,否,满意,可能会,1,4,经常
R00082,26-35,女,深圳,413,不满意,可能会,偶尔,是,不满意,肯定会,2,3,偶尔
R00083,26-35,女,北京,494,非常满意,可能会,经常,是,满意,可能不会,1,5,总是
R00084,46-55,男,杭州,219,非常不满意,肯定会,总是,是,一般,可能不会,4,9,偶尔
R00085,26-35,男,成都,121,一般,可能会,偶尔,否,不满意,不确定,10,1,偶尔
R00086,18-25,女,深圳,193,不满意,不确定,经常,否,一般,不确定,3,1,很少
R00087,56+,女,上海,352,非常不满意,可能不会,从不,是,非常满意,肯定会,10,8,偶尔
R00088,26-35,男,上海,375,满意,可能会,经常,否,一般,不确定,3,4,偶尔
R00089,18-25,女,北京,168,不满意,肯定会,偶尔,是,非常不满意,肯定不会,2,9,很少
R00090,18-25,女,杭州,272,非常不满意,肯定会,经常,是,不满意,不确定,2,8,很少
R00091,18-25,女,上海,588,非常不满意,肯定不会,从不,否,一般,可能不会,10,1,总是
R00092,36-45,女,成都,170,非常满意,可能会,偶尔,是,非常不满意,不确定,4,1,偶尔
R00093,36-45,男,上海,294,一般,肯定会,经常,是,非常满意,肯定会,8,5,很少
R00094,26-35,女,广州,470,一般,可能会,从不,是,不满意,可能会,9,6,偶尔
R00095,18-25,女,成都,499,满意,可能会,很少,是,一般,肯定会,4,10,偶尔
R00096,26-35,女,北京,510,非常满意,肯定会,总是,是,不满意,不确定,2,9,很少
R00097,56+,女,杭州,201,满意,可能会,从不,否,一般,不确定,5,6,经常
R00098,26-35,男,成都,85,满意,肯定会,从不,是,满意,可能不会,5,1,从不
R00099,56+,女,深圳,328,满意,可能会,总是,是,满意,可能会,5,10,从不
R00100,46-55,男,广州,315,满意,可能会,偶尔,是,一般,可能会,1,10,偶尔
R00101,18-25,女,北京,568,一般,一般,一般,否,一般,不确定,5,5,偶尔
R00102,36-45,女,广州,183,一般,一般,一般,是,一般,不确定,5,5,偶尔
R00103,36-45,男,北京,353,一般,一般,一般,是,一般,不确定,5,5,偶尔
R00104,26-35,女,上海,587,一般,一般,一般,否,一般,不确定,5,5,偶尔
R00105,26-35,女,广州,330,一般,一般,一般,否,一般,不确定,5,5,偶尔
R00106,36-45,女,成都,235,不满意,可能会,经常,否,满意,可能会,5,2,经常
R00107,18-25,男,北京,145,一般,可能会,经常,是,满意,肯定会,10,8,总是
R00108,26-35,男,上海,174,不满意,可能会,从不,否,满意,可能会,5,9,从不
R00109,26-35,男,深圳,132,非常满意,肯定会,总是,是,不满意,可能会,8,6,偶尔
R00110,56+,女,广州,298,满意,可能会,经常,是,非常不满意,可能不会,1,5,偶尔
R00111,46-55,女,杭州,488,满意,可能会,从不,否,满意,不确定,2,5,经常
R00112,26-35,男,广州,153,满意,可能会,总是,是,一般,可能会,5,3,经常
R00113,26-35,女,北京,493,满意,可能会,偶尔,否,满意,肯定会,8,1,偶尔
R00114,18-25,男,上海,423,一般,可能不会,总是,是,满意,可能不会,7,1,偶尔
R00115,46-55,女,上海,314,一般,不确定,总是,否,满意,不确定,7,6,很少
R00116,46-55,男,广州,531,满意,肯定会,经常,否,不满意,可能会,10,7,经常
R00117,26-35,男,北京,349,非常满意,可能会,经常,否,非常满意,不确定,5,8,偶尔
R00118,36-45,男,上海,215,不满意,肯定不会,经常,是,不满意,肯定会,6,10,经常
R00119,36-45,男,深圳,476,一般,可能会,从不,否,非常满意,可能会,5,9,偶尔
R00120,18-25,男,广州,573,一般,肯定不会,偶尔,否,一般,可能不会,9,8,经常
R00121,36-45,男,北京,129,满意,可能会,从不,是,一般,可能会,10,4,偶尔
R00122,26-35,男,深圳,227,非常满意,肯定会,经常,是,一般,可能会,1,6,很少
R00123,36-45,男,杭州,314,非常不满意,不确定,经常,是,一般,可能会,1,3,偶尔
R00124,26-35,男,杭州,345,满意,可能会,偶尔,否,一般,可能会,4,5,偶尔
R00125,18-25,女,杭州,486,满意,可能不会,经常,是,非常满意,可能会,9,3,经常
R00126,26-35,女,成都,102,满意,肯定会,经常,否,一般,可能会,2,5,很少
R00127,18-25,男,深圳,337,满意,肯定会,很少,是,一般,可能不会,7,7,总是
R00128,56+,男,成都,492,满意,可能会,经常,是,非常满意,不确定,10,9,偶尔
R00129,46-55,男,广州,578,一般,不确定,总是,是,一般,不确定,6,1,很少
R00130,46-55,男,成都,198,满意,可能会,从不,否,一般,不确定,7,1,偶尔
R00131,26-35,女,广州,132,满意,可能会,经常,是,满意,可能会,9,7,很少
R00132,18-25,男,广州,381,一般,肯定会,经常,是,满意,不确定,10,1,偶尔
R00133,46-55,男,成都,67,非常不满意,可能会,经常,是,不满意,可能会,10,5,很少
R00134,56+,男,成都,360,非常满意,肯定会,经常,是,非常满意,肯定会,10,7,偶尔
R00135,18-25,女,北京,480,不满意,肯定会,偶尔,是,满意,不确定,7,6,偶尔
R00136,26-35,男,北京,513,一般,肯定会,经常,否,一般,不确定,4,4,经常
R00137,18-25,男,广州,89,满意,不确定,经常,是,一般,不确定,3,3,经常
R00138,36-45,男,成都,404,满意,可能不会,偶尔,是,满意,可能不会,1,1,经常
R00139,36-45,男,成都,495,一般,不确定,很少,是,非常满意,可能会,7,8,经常
R00140,18-25,女,杭州,545,一般,可能不会,偶尔,是,非常不满意,肯定不会,5,2,很少
R00141,26-35,男,杭州,575,非常满意,不确定,经常,否,非常满意,肯定不会,9,1,很少
R00142,26-35,男,广州,588,非常满意,可能会,偶尔,是,不满意,肯定不会,10,10,总是
R00143,26-35,男,深圳,426,满意,肯定会,从不,否,一般,肯定会,7,5,总是
R00144,46-55,男,深圳,495,不满意,可能会,总是,是,满意,可能不会,8,6,很少
R00145,26-35,女,深圳,414,满意,可能会,总是,是,一般,不确定,3,6,总是
R00146,18-25,女,北京,586,一般,可能不会,经常,否,一般,不确定,5,6,经常
R00147,26-35,女,广州,334,非常不满意,可能会,偶尔,是,一般,可能会,6,3,总是
R00148,36-45,女,成都,138,不满意,肯定会,很少,否,一般,可能会,10,8,经常
R00149,18-25,女,杭州,146,满意,肯定会,偶尔,是,满意,可能会,3,8,很少
R00150,26-35,男,北京,256,非常满意,可能会,偶尔,是,非常不满意,不确定,1,9,很少
R00151,56+,女,北京,128,满意,可能会,很少,是,一般,可能会,1,7,经常
R00152,36-45,女,成都,295,一般,可能会,经常,是,非常满意,不确定,4,5,从不
R00153,26-35,女,杭州,166,满意,可能会,偶尔,是,一般,肯定会,7,6,总是
R00154,26-35,女,北京,345,一般,肯定会,总是,是,一般,可能会,4,9,总是
R00155,18-25,其他,上海,127,满意,可能会,偶尔,否,不满意,可能会,6,4,经常
R00156,18-25,女,深圳,186,不满意,可能会,经常,否,非常满意,可能会,10,10,经常
R00157,26-35,男,广州,600,满意,不确定,总是,否,非常不满意,肯定会,6,8,经常
R00158,26-35,男,广州,196,非常满意,可能不会,经常,否,一般,可能不会,2,10,偶尔
R00159,18-25,女,深圳,450,满意,不确定,很少,是,满意,可能不会,8,3,偶尔
R00160,18-25,女,广州,303,满意,可能不会,总是,否,满意,不确定,7,3,总是
R00161,18-25,男,深圳,275,非常满意,可能会,经常,是,满意,肯定会,3,3,很少
R00162,36-45,男,成都,179,非常不满意,不确定,总是,是,满意,不确定,7,7,很少
R00163,18-25,女,成都,90,满意,可能会,经常,是,满意,不确定,7,2,从不
R00164,46-55,女,深圳,145,非常满意,不确定,偶尔,是,非常不满意,可能会,9,5,总是
R00165,46-55,男,北京,309,满意,可能不会,经常,是,一般,不确定,9,3,很少
R00166,18-25,男,深圳,376,满意,肯定会,偶尔,否,不满意,肯定不会,1,8,经常
R00167,18-25,男,上海,473,非常满意,肯定不会,经常,是,一般,可能会,7,8,经常
R00168,36-45,女,上海,399,非常不满意,可能会,偶尔,否,满意,不确定,2,2,从不
R00169,18-25,女,上海,462,非常满意,不确定,从不,是,满意,肯定会,4,5,从不
R00170,18-25,女,广州,517,满意,可能不会,经常,否,满意,可能会,8,1,偶尔
R00171,56+,男,广州,75,一般,可能会,很少,是,一般,可能会,7,9,经常
R00172,26-35,女,广州,474,一般,可能会,经常,是,满意,可能会,9,10,很少
R00173,26-35,女,杭州,556,满意,可能不会,从不,否,一般,不确定,2,10,偶尔
R00174,36-45,女,广州,446,非常不满意,可能会,很少,否,不满意,肯定会,6,8,经常
R00175,46-55,女,杭州,594,满意,肯定会,很少,是,非常满意,可能会,1,10,偶尔
R00176,18-25,男,上海,202,非常满意,肯定会,偶尔,是,非常满意,可能不会,8,8,偶尔
R00177,18-25,男,北京,152,满意,可能不会,偶尔,否,满意,肯定不会,9,3,偶尔
R00178,26-35,男,杭州,472,非常满意,可能会,很少,是,非常满意,不确定,10,2,偶尔
R00179,26-35,男,上海,330,满意,可能会,总是,是,满意,可能会,6,8,经常
R00180,26-35,男,深圳,106,一般,肯定会,很少,否,不满意,可能会,6,8,经常
R00181,36-45,男,上海,78,非常满意,肯定不会,经常,是,满意,不确定,5,1,偶尔
R00182,36-45,女,北京,276,非常满意,不确定,总是,否,满意,肯定会,10,6,总是
R00183,56+,女,上海,346,非常不满意,可能不会,经常,否,满意,可能不会,5,8,很少
R00184,18-25,男,成都,199,非常满意,可能不会,总是,是,非常满意,可能会,1,8,很少
R00185,26-35,男,上海,419,非常满意,可能会,经常,是,不满意,不确定,1,10,很少
R00186,26-35,女,杭州,534,非常满意,可能不会,经常,是,不满意,肯定不会,1,6,很少
R00187,46-55,女,北京,511,不满意,可能会,很少,是,非常不满意,不确定,6,1,从不
R00188,18-25,男,深圳,555,一般,可能会,总是,是,满意,可能会,9,6,经常
R00189,18-25,女,北京,292,非常满意,可能不会,经常,是,满意,可能会,7,6,很少
R00190,26-35,女,深圳,323,一般,可能会,很少,否,不满意,可能会,9,3,总是
R00191,26-35,女,北京,267,非常满意,肯定会,从不,否,满意,肯定不会,5,6,从不
R00192,26-35,男,北京,420,满意,可能会,偶尔,否,非常不满意,肯定会,4,6,偶尔
R00193,18-25,男,北京,596,满意,肯定会,偶尔,否,一般,肯定不会,5,9,偶尔
R00194,56+,女,成都,499,满意,可能会,很少,否,一般,不确定,9,9,很少
R00195,26-35,女,杭州,370,非常满意,不确定,很少,否,满意,可能会,5,7,总是
R00196,46-55,其他,深圳,108,一般,可能不会,经常,否,满意,不确定,8,10,偶尔
R00197,26-35,男,北京,141,一般,可能会,很少,是,满意,可能会,9,6,总是
R00198,18-25,男,成都,392,不满意,可能会,经常,否,满意,可能会,4,2,总是
R00199,56+,女,北京,162,满意,可能会,偶尔,否,满意,可能不会,5,8,经常
R00200,46-55,女,成都,115,满意,不确定,经常,是,满意,肯定会,6,5,经常
R00201,56+,女,上海,145,满意,肯定会,总是,否,不满意,肯定会,10,6,总是
R00202,56+,男,上海,120,非常不满意,肯定会,经常,否,非常不满意,不确定,6,4,总是
R00203,46-55,女,成都,247,非常满意,不确定,经常,否,满意,不确定,10,6,从不
R00204,18-25,女,杭州,349,非常不满意,肯定会,从不,是,不满意,可能不会,10,9,从不
R00205,26-35,男,广州,422,满意,可能会,偶尔,是,一般,可能会,2,1,从不
R00206,18-25,女,成都,462,一般,可能会,很少,是,满意,可能不会,10,2,从不
R00207,26-35,男,深圳,416,不满意,肯定不会,很少,是,满意,肯定会,5,2,很少
R00208,18-25,女,广州,367,满意,肯定会,总是,否,一般,可能会,3,9,偶尔
R00209,26-35,女,北京,309,非常满意,可能会,偶尔,是,一般,肯定不会,7,8,经常
R00210,56+,女,广州,73,满意,可能会,偶尔,否,满意,肯定不会,9,7,经常
R00211,26-35,女,深圳,548,一般,肯定会,总是,否,满意,可能会,3,4,经常
R00212,36-45,男,上海,355,一般,可能会,总是,否,非常不满意,不确定,8,7,经常
R00213,26-35,女,上海,220,一般,肯定不会,很少,是,非常不满意,不确定,7,6,偶尔
R00214,26-35,女,广州,460,一般,可能不会,经常,是,非常不满意,可能不会,10,3,很少
R00215,56+,男,成都,286,一般,肯定会,从不,否,非常不满意,肯定不会,7,1,偶尔
R00216,56+,女,广州,65,满意,肯定会,经常,是,一般,肯定不会,2,2,偶尔
R00217,26-35,男,深圳,514,一般,可能不会,总是,是,满意,肯定会,8,6,经常
R00218,36-45,男,杭州,521,一般,可能会,很少,是,满意,可能会,5,3,偶尔
R00219,18-25,女,北京,296,非常满意,不确定,经常,否,满意,肯定会,3,8,偶尔
R00220,26-35,女,上海,593,一般,不确定,总是,否,满意,可能不会,8,2,很少
R00221,56+,男,成都,412,非常满意,不确定,经常,是,不满意,可能会,3,2,经常
R00222,26-35,女,广州,235,不满意,肯定会,经常,是,满意,不确定,1,6,经常
R00223,26-35,女,广州,504,不满意,可能不会,偶尔,是,一般,可能会,10,6,经常
R00224,36-45,男,深圳,534,满意,可能会,经常,是,满意,肯定不会,1,6,总是
R00225,18-25,女,广州,550,满意,肯定会,经常,是,满意,不确定,3,9,总是
R00226,26-35,女,杭州,551,非常满意,肯定会,偶尔,否,一般,肯定不会,2,9,很少
R00227,26-35,女,深圳,548,一般,可能不会,经常,否,满意,可能会,4,3,经常
R00228,46-55,女,北京,219,不满意,可能不会,偶尔,否,满意,可能会,9,2,很少
R00229,18-25,男,北京,428,满意,可能会,经常,否,满意,可能会,3,1,经常
R00230,56+,男,杭州,111,一般,可能会,很少,否,不满意,不确定,6,3,经常
R00231,18-25,男,杭州,165,一般,可能会,从不,否,不满意,肯定不会,6,1,偶尔
R00232,18-25,女,北京,465,一般,可能会,经常,是,满意,可能不会,8,8,偶尔
R00233,26-35,男,深圳,467,非常满意,可能不会,经常,是,非常不满意,肯定不会,3,10,很少
R00234,36-45,女,成都,135,满意,可能会,经常,否,不满意,可能会,9,4,很少
R00235,18-25,男,深圳,89,一般,肯定会,经常,否,非常不满意,不确定,3,3,经常
R00236,18-25,女,成都,267,非常满意,可能会,从不,是,一般,肯定会,7,7,偶尔
R00237,46-55,男,深圳,101,一般,可能会,总是,是,满意,不确定,6,1,偶尔
R00238,18-25,女,深圳,353,满意,肯定会,偶尔,是,非常满意,不确定,4,5,经常
R00239,26-35,女,广州,253,满意,可能会,偶尔,是,满意,可能不会,4,3,经常
R00240,36-45,男,上海,454,不满意,肯定会,很少,是,不满意,可能不会,7,3,总是
R00241,26-35,女,成都,411,非常满意,可能会,偶尔,否,不满意,可能会,9,1,偶尔
R00242,26-35,男,北京,564,非常满意,可能会,经常,是,满意,不确定,4,5,总是
R00243,26-35,其他,成都,146,满意,可能会,偶尔,是,满意,可能会,3,5,总是
R00244,56+,男,广州,251,非常满意,可能会,偶尔,是,一般,肯定会,1,4,很少
R00245,18-25,男,杭州,434,非常满意,可能会,偶尔,是,满意,不确定,8,7,总是
R00246,36-45,男,北京,335,满意,肯定会,偶尔,否,满意,肯定会,6,4,偶尔
R00247,18-25,其他,北京,305,满意,可能会,总是,是,一般,可能会,9,7,总是
R00248,26-35,男,杭州,125,满意,肯定会,很少,是,一般,肯定不会,1,10,偶尔
R00249,36-45,男,上海,373,满意,肯定会,很少,是,不满意,可能会,6,10,偶尔
R00250,26-35,男,深圳,369,非常满意,不确定,总是,是,一般,肯定会,3,4,偶尔
R00251,26-35,男,深圳,181,一般,可能会,总是,是,非常满意,肯定会,9,10,很少
R00252,36-45,女,深圳,221,非常满意,肯定会,偶尔,是,一般,可能会,1,8,经常
R00253,18-25,男,广州,285,满意,可能会,很少,否,非常满意,肯定不会,2,8,总是
R00254,26-35,女,成都,424,非常满意,可能不会,很少,是,满意,肯定不会,9,5,偶尔
R00255,56+,女,杭州,274,一般,肯定会,偶尔,否,一般,肯定会,8,5,偶尔
R00256,56+,男,深圳,570,非常不满意,可能会,经常,是,满意,可能会,1,9,偶尔
R00257,18-25,女,北京,409,非常满意,肯定会,很少,是,一般,可能会,7,6,偶尔
R00258,18-25,女,广州,259,满意,可能不会,总是,否,非常不满意,可能会,6,3,经常
R00259,26-35,男,深圳,124,非常不满意,肯定会,偶尔,是,非常满意,肯定不会,3,8,总是
R00260,56+,女,广州,242,满意,可能不会,很少,是,满意,可能不会,7,1,经常
R00261,46-55,男,上海,292,非常满意,可能会,很少,否,满意,可能会,2,8,总是
R00262,46-55,男,杭州,95,一般,不确定,经常,是,不满意,可能会,3,1,经常
R00263,26-35,男,上海,250,满意,可能会,偶尔,是,不满意,不确定,10,6,经常
R00264,18-25,男,上海,278,非常满意,可能不会,很少,否,满意,可能不会,10,4,总是
R00265,46-55,女,上海,238,非常不满意,可能会,偶尔,否,非常满意,可能会,6,4,很少
R00266,36-45,女,成都,493,满意,可能会,总是,是,不满意,肯定不会,8,1,偶尔
R00267,36-45,男,广州,458,满意,肯定会,很少,是,不满意,肯定会,7,1,很少
R00268,56+,男,广州,563,不满意,可能会,偶尔,否,满意,可能会,9,9,经常
R00269,36-45,男,成都,247,满意,肯定会,偶尔,否,满意,肯定会,5,9,总是
R00270,18-25,女,北京,472,满意,不确定,经常,是,一般,肯定会,4,3,很少
R00271,46-55,女,上海,225,非常满意,可能会,经常,否,一般,肯定会,6,9,总是
R00272,26-35,男,成都,217,满意,可能会,经常,否,不满意,肯定会,7,1,偶尔
R00273,36-45,其他,杭州,405,一般,可能会,总是,是,非常满意,可能会,8,4,很少
R00274,56+,女,广州,177,满意,不确定,经常,是,不满意,可能不会,8,6,很少
R00275,18-25,男,广州,372,满意,可能会,偶尔,是,满意,可能不会,7,3,偶尔
R00276,18-25,男,深圳,118,满意,不确定,偶尔,是,满意,可能会,7,2,偶尔
R00277,18-25,男,杭州,343,满意,肯定不会,偶尔,是,满意,肯定会,2,6,很少
R00278,26-35,女,深圳,334,不满意,可能会,总是,是,一般,肯定不会,2,10,经常
R00279,26-35,女,深圳,276,满意,可能会,偶尔,否,非常不满意,可能会,3,1,偶尔
R00280,36-45,男,广州,505,非常满意,可能会,从不,否,一般,可能不会,2,3,偶尔
R00281,36-45,其他,广州,266,满意,肯定会,偶尔,否,一般,可能会,8,7,从不
R00282,18-25,男,深圳,595,满意,可能不会,偶尔,否,一般,可能会,3,3,偶尔
R00283,36-45,女,成都,458,满意,肯定不会,总是,否,非常满意,可能会,8,9,偶尔
R00284,26-35,男,北京,302,非常满意,肯定会,总是,否,非常满意,可能会,5,4,很少
R00285,26-35,男,深圳,153,满意,可能会,偶尔,是,满意,可能会,10,6,很少
R00286,46-55,女,成都,187,不满意,不确定,经常,是,非常不满意,不确定,7,5,总是
R00287,46-55,女,广州,527,满意,不确定,从不,是,不满意,肯定会,8,7,偶尔
R00288,18-25,男,深圳,505,满意,不确定,偶尔,是,一般,肯定会,7,4,偶尔
R00289,26-35,男,北京,415,满意,肯定会,偶尔,是,非常不满意,可能不会,6,4,偶尔
R00290,26-35,女,上海,98,满意,可能会,偶尔,是,不满意,不确定,2,2,总是
R00291,18-25,女,上海,426,不满意,可能会,很少,是,满意,可能会,1,3,偶尔
R00292,36-45,男,上海,172,一般,不确定,偶尔,是,一般,肯定会,6,10,偶尔
R00293,36-45,男,北京,597,满意,可能会,经常,是,一般,肯定会,7,7,很少
R00294,26-35,男,广州,398,满意,肯定会,总是,是,一般,可能会,2,5,经常
R00295,36-45,女,杭州,465,满意,可能会,很少,否,满意,肯定会,5,5,经常
R00296,26-35,女,深圳,351,一般,肯定会,总是,是,满意,可能会,9,3,很少
R00297,26-35,女,深圳,108,满意,可能会,很少,否,满意,可能不会,10,9,经常
R00298,18-25,男,成都,594,满意,肯定会,从不,是,非常满意,肯定会,10,8,很少
R00299,18-25,女,杭州,237,不满意,可能会,从不,是,非常满意,可能会,4,5,经常
R00300,46-55,男,杭州,482,一般,可能会,经常,否,不满意,可能不会,1,5,偶尔
R00301,46-55,女,北京,503,非常满意,可能会,从不,否,一般,肯定不会,1,3,总是
R00302,26-35,男,北京,424,不满意,肯定会,很少,否,一般,不确定,6,9,经常
R00303,46-55,其他,上海,461,一般,可能会,经常,否,非常满意,可能会,7,2,总是
R00304,26-35,女,深圳,283,非常满意,不确定,偶尔,是,一般,不确定,7,4,很少
R00305,18-25,女,杭州,288,非常满意,可能会,从不,是,非常满意,可能不会,7,3,总是
R00306,18-25,男,成都,198,非常不满意,不确定,偶尔,是,一般,可能不会,2,1,偶尔
R00307,26-35,女,北京,521,满意,可能会,经常,否,满意,可能会,9,1,从不
